employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,manager_id,department_id
1,Nancy,Fletcher,henry97@example.com,254.543.2734,1993-05-23,JOB_9,62277.59,,18
2,Melissa,Conley,jmorris@example.com,825-797-3323,2001-01-14,JOB_7,127551.44,2103,26
3,Jeffrey,Perez,melissa19@example.com,+1-607-389-5000,1989-06-01,JOB_17,57124.84,4492,23
4,Kevin,Braun,moorelisa@example.org,(412)478-4633x0814,1988-09-18,JOB_3,127471.91,5521,43
5,Erica,Clark,andersontiffany@example.net,+1-841-987-3270x1652,1988-04-13,JOB_1,109444.18,5085,47
6,Wayne,Johnson,victoriameza@example.net,(473)444-9985,1969-04-22,JOB_15,128692.17,152,2
7,Lee,Lopez,markross@example.net,7764716741,2006-11-12,JOB_3,121465.87,9399,72
8,Tina,Martin,emma42@example.org,+1-214-733-1007x04200,1974-07-12,JOB_5,70667.01,6153,96
9,Kimberly,Johnson,natalie44@example.org,(889)432-0090,1968-07-01,JOB_20,61569.77,4578,19
10,Natasha,Terry,laura29@example.net,493-459-7142,1977-08-18,JOB_5,110150.83,8334,67
11,Danny,Dean,zwilliams@example.net,875-603-7170x85660,1985-09-09,JOB_17,93846.08,6473,69
12,Jake,Riley,alyssa78@example.com,+1-596-788-8683x145,1984-07-31,JOB_14,96067.29,9949,37
13,Tina,Steele,hilltina@example.net,001-378-551-3446x40067,1991-06-08,JOB_14,106373.24,1572,55
14,Timothy,Young,petersshari@example.org,+1-299-313-5195,1987-08-29,JOB_9,105068.99,2339,53
15,Mariah,Watkins,wrightscott@example.com,272.271.3086,1974-07-09,JOB_16,115161.18,5400,39
16,Daniel,Stevens,latasha36@example.com,319.726.7663,1977-03-11,JOB_16,139807.97,1172,83
17,Mandy,Trujillo,robbinsnicole@example.net,(630)328-6720,1973-11-19,JOB_16,123315.2,9597,42
18,Jacob,Hampton,howardmichelle@example.org,(958)341-3047x6508,1989-10-13,JOB_9,144245.28,9868,58
19,Thomas,Sanchez,chavezemily@example.net,001-308-916-7784x178,1982-02-15,JOB_2,119442.96,6375,74
20,Collin,Thompson,scottwarren@example.com,480.804.9133x898,2002-05-06,JOB_3,145151.38,7084,8
21,Leslie,Castillo,smcconnell@example.net,(495)644-2815x284,1985-12-25,JOB_13,94693.21,2339,52
